DATE,TYPE,CATEGORY,AMOUNT
2019-01-01,Inflow,Sales Revenue,2659
2019-01-01,Outflow,Maintenance & Repairs,90
2019-01-01,Outflow,Professional Services,121
2019-01-01,Outflow,Travel & Transport,52
2019-01-01,Outflow,Office Supplies,63
2019-01-01,Outflow,Equipment Purchase,137
2019-01-01,Outflow,Tax Payments,50
2019-01-01,Outflow,Vendor Payments,641
2019-01-01,Outflow,Marketing & Ads,263
2019-01-01,Inflow,Consulting Fees,544
2019-01-01,Inflow,Commission Income,186
2019-01-01,Inflow,Interest Income,100
2019-01-01,Inflow,Grant / Aid Received,614
2019-01-01,Inflow,Subscription Income,658
2019-01-01,Inflow,Service Fees,969
2019-01-01,Outflow,Rent & Utilities,9138
2019-01-02,Outflow,Office Supplies,50
2019-01-02,Outflow,Maintenance & Repairs,102
2019-01-02,Outflow,Professional Services,158
2019-01-02,Inflow,Consulting Fees,425
2019-01-02,Outflow,Marketing & Ads,243
2019-01-02,Inflow,Interest Income,100
2019-01-02,Inflow,Tax Refunds,100
2019-01-02,Inflow,Grant / Aid Received,524
2019-01-02,Inflow,Service Fees,840
2019-01-02,Inflow,Commission Income,235
2019-01-03,Outflow,Professional Services,133
2019-01-03,Outflow,Travel & Transport,52
2019-01-03,Outflow,Office Supplies,62
2019-01-03,Outflow,Equipment Purchase,117
2019-01-03,Outflow,Tax Payments,50
2019-01-03,Outflow,Marketing & Ads,194
2019-01-03,Outflow,Vendor Payments,698
2019-01-03,Inflow,Commission Income,175
2019-01-03,Inflow,Asset Sales,100
2019-01-03,Inflow,Interest Income,100
2019-01-03,Inflow,Grant / Aid Received,528
2019-01-03,Inflow,Service Fees,819
2019-01-03,Inflow,Consulting Fees,562
2019-01-04,Outflow,Tax Payments,50
2019-01-04,Outflow,Professional Services,185
2019-01-04,Outflow,Travel & Transport,60
2019-01-04,Outflow,Office Supplies,64
2019-01-04,Outflow,Equipment Purchase,179
2019-01-04,Inflow,Consulting Fees,392
2019-01-04,Inflow,Subscription Income,615
2019-01-04,Inflow,Interest Income,100
2019-01-04,Inflow,Tax Refunds,100
2019-01-04,Inflow,Service Fees,1100
2019-01-04,Inflow,Sales Revenue,2780
2019-01-04,Inflow,Commission Income,163
2019-01-05,Outflow,Maintenance & Repairs,50
2019-01-05,Outflow,Insurance Premiums,2576
2019-01-05,Outflow,Professional Services,57
2019-01-05,Inflow,Commission Income,100
2019-01-05,Inflow,Rental Income,180
2019-01-06,Inflow,Sales Revenue,590
2019-01-06,Inflow,Tax Refunds,100
2019-01-06,Outflow,Vendor Payments,135
2019-01-07,Outflow,Maintenance & Repairs,86
2019-01-07,Outflow,Professional Services,141
2019-01-07,Outflow,Equipment Purchase,153
2019-01-07,Inflow,Consulting Fees,295
2019-01-07,Outflow,Marketing & Ads,225
2019-01-07,Inflow,Tax Refunds,100
2019-01-07,Inflow,Grant / Aid Received,464
2019-01-07,Inflow,Sales Revenue,2321
2019-01-07,Inflow,Interest Income,100
2019-01-08,Outflow,Professional Services,178
2019-01-08,Outflow,Travel & Transport,92
2019-01-08,Outflow,Office Supplies,50
2019-01-08,Outflow,Vendor Payments,695
2019-01-08,Outflow,Equipment Purchase,192
2019-01-08,Inflow,Interest Income,105
2019-01-08,Inflow,Tax Refunds,100
2019-01-08,Inflow,Sales Revenue,2609
2019-01-08,Inflow,Consulting Fees,542
2019-01-09,Outflow,Tax Payments,50
2019-01-09,Outflow,Maintenance & Repairs,117
2019-01-09,Outflow,Professional Services,178
2019-01-09,Outflow,Travel & Transport,87
2019-01-09,Outflow,Office Supplies,54
2019-01-09,Outflow,Equipment Purchase,159
2019-01-09,Outflow,Marketing & Ads,218
2019-01-09,Inflow,Commission Income,235
2019-01-09,Inflow,Consulting Fees,406
2019-01-09,Outflow,Vendor Payments,598
2019-01-09,Inflow,Interest Income,105
2019-01-09,Inflow,Tax Refunds,100
2019-01-09,Inflow,Subscription Income,421
2019-01-09,Inflow,Service Fees,1004
2019-01-09,Inflow,Sales Revenue,2364
2019-01-10,Outflow,Maintenance & Repairs,97
2019-01-10,Outflow,Professional Services,150
2019-01-10,Outflow,Software Subscriptions,1769
2019-01-10,Outflow,Travel & Transport,74
2019-01-10,Outflow,Office Supplies,50
2019-01-10,Outflow,Equipment Purchase,144
2019-01-10,Inflow,Commission Income,200
